,itself-1,,inout-1,max-1,oppdir-1,samedir-1,,,lag-1,,inout-1,max-1,oppdir-1,samedir-1
"""10/6/2""",0.53,,0.60,0.51,0.53,0.70,,,374,,374,374,374,374
"""22/14/1""",0.32,,0.33,-0.08,0.32,0.33,,,,,,,,
"""22/14/2""",0.33,,0.28,-0.08,0.33,0.22,,,126,,117,127,126,131
"""9/6/1""",0.93,,0.93,0.93,0.93,0.93,,,234,,244,200,235,224
"""9/3/1""",0.79,,0.76,0.93,0.79,0.72,,,12,,12,46,12,18
"""7/1/2""",0.01,,0.14,0.50,0.01,0.31,,,,,,,,
"""7/7/2""",0.03,,0.13,0.01,0.03,0.24,,,33.69,,31.28,33.96,33.69,35.03
"""9/3/2""",0.79,,0.76,0.93,0.79,0.72,,,62.57,,65.24,53.48,62.83,59.89
"""14/1/1""",0.20,,0.15,0.08,0.20,0.04,,,3.21,,3.21,12.30,3.21,4.81
"""4/8/2""",0.30,,0.28,-0.07,0.30,0.26,,,,,,,,
"""7/11/2""",0.02,,-0.02,0.01,0.02,-0.08,,,,,,,,
"""9/11/2""",0.11,,0.09,0.06,0.11,0.06,,,,,,,,
"""1/7/1""",0.72,,0.67,0.23,0.72,0.60,,,,,,,,
"""1/7/2""",0.72,,0.67,0.23,0.72,0.60,,,,,,,,
"""30/18/2""",-0.05,,-0.04,0.00,-0.05,-0.02,,,,,,,,
"""41/3/1""",0.32,,0.32,0.00,0.32,0.32,,,,,,,,
"""7/2/2""",0.23,,0.39,0.77,0.23,0.58,,,,,,,,
"""30/18/1""",0.07,,0.10,0.10,0.07,0.15,,,,,,,,
"""7/2/1""",0.22,,0.25,0.18,0.22,0.29,,,,,,,,
"""22/11/1""",0.11,,0.23,0.12,0.11,0.38,,,,,,,,
"""42/1/2""",0.29,,0.32,0.60,0.29,0.35,,,,,,,,
"""42/1/1""",0.28,,0.24,0.40,0.28,0.20,,,,,,,,
"""22/11/2""",0.13,,0.24,0.44,0.13,0.37,,,,,,,,
"""41/5/1""",0.42,,0.38,0.53,0.42,0.35,,,,,,,,
"""41/5/2""",0.30,,0.36,0.60,0.30,0.42,,,,,,,,
"""22/10/1""",0.33,,0.22,0.45,0.33,0.10,,,,,,,,
"""22/10/2""",0.15,,0.22,0.44,0.15,0.31,,,,,,,,
"""46/3/2""",0.33,,0.34,0.40,0.33,0.34,,,,,,,,
"""27/7/2""",0.17,,0.18,0.28,0.17,0.20,,,,,,,,
"""27/7/1""",-0.03,,-0.01,-0.04,-0.03,0.01,,,,,,,,
"""6/4/2""",0.32,,0.39,0.45,0.32,0.47,,,,,,,,
"""41/3/2""",0.36,,0.32,0.00,0.36,0.27,,,,,,,,
"""20/6/1""",0.51,,0.52,0.48,0.51,0.53,,,,,,,,
"""22/13/2""",0.27,,0.31,0.60,0.27,0.37,,,,,,,,
"""7/6/1""",0.11,,0.23,0.12,0.11,0.38,,,,,,,,
"""1/9/2""",0.71,,0.65,0.92,0.71,0.57,,,,,,,,
"""1/9/1""",0.62,,0.60,0.90,0.62,0.56,,,,,,,,
"""1/8/2""",0.16,,0.18,0.19,0.16,0.22,,,,,,,,
"""9/5/1""",0.93,,0.93,0.93,0.93,0.93,,,,,,,,
"""1/8/1""",0.13,,0.15,0.17,0.13,0.17,,,,,,,,
"""46/3/1""",0.48,,0.45,0.58,0.48,0.41,,,,,,,,
"""43/1/1""",0.26,,0.34,0.64,0.26,0.44,,,,,,,,
"""13/1/1""",0.73,,0.72,0.63,0.73,0.70,,,,,,,,
"""7/3/2""",0.23,,0.38,0.02,0.23,0.56,,,,,,,,
"""13/1/2""",0.77,,0.76,0.67,0.77,0.74,,,,,,,,
"""7/5/1""",0.43,,0.32,0.58,0.43,0.18,,,,,,,,
"""6/5/2""",0.33,,0.37,0.36,0.33,0.42,,,,,,,,
"""7/5/2""",0.14,,0.22,0.45,0.14,0.31,,,,,,,,
"""41/7/2""",0.14,,0.24,0.44,0.14,0.37,,,,,,,,
"""22/12/2""",0.22,,0.26,0.63,0.22,0.30,,,,,,,,
"""4/8/1""",0.32,,0.28,-0.07,0.32,0.24,,,,,,,,
"""41/7/1""",0.11,,0.23,0.12,0.11,0.38,,,,,,,,
"""7/4/1""",0.03,,0.04,0.05,0.03,0.05,,,,,,,,
"""7/4/2""",0.06,,0.04,0.05,0.06,0.01,,,,,,,,
"""41/6/2""",0.03,,0.13,0.01,0.03,0.24,,,,,,,,
"""41/6/1""",0.07,,0.18,-0.12,0.07,0.30,,,,,,,,
"""9/4/1""",0.93,,0.93,0.93,0.93,0.93,,,,,,,,
"""22/8/1""",0.13,,0.15,0.07,0.13,0.19,,,,,,,,
"""22/12/1""",0.30,,0.28,0.54,0.30,0.27,,,,,,,,
"""7/3/1""",0.60,,0.38,0.03,0.60,0.12,,,,,,,,
"""22/8/2""",0.23,,0.38,0.03,0.23,0.57,,,,,,,,
"""9/12/2""",0.31,,0.25,0.14,0.31,0.15,,,,,,,,
"""1/4/2""",0.97,,0.97,0.97,0.97,0.97,,,,,,,,
"""7/13/2""",-0.03,,-0.09,0.04,-0.03,-0.19,,,,,,,,
"""7/13/1""",-0.10,,-0.14,-0.08,-0.10,-0.20,,,,,,,,
"""1/4/1""",0.97,,0.97,0.97,0.97,0.97,,,,,,,,
