Time,Temp.,Windchill,Dew Point,Pressure,Wind,Wind Speed,Wind Gust,Humidity,Rainfall Rate (Hourly)
00:08,  4.8 °C,  1.9 °C,  1.7°C,  985.7hPa,West,  12.9km/h,  41.8km/h,80%,  0.3mm/  0.3mm total
00:23,  4.6 °C,  1.3 °C,  1.7°C,  985.7hPa,West,  14.5km/h,  19.3km/h,81%,  0.3mm/  0.3mm total
00:38,  4.3 °C,  0.3 °C,  1.7°C,  986.3hPa,SSW,  19.3km/h,  20.9km/h,82%,  0.5mm/  0.5mm total
00:53,  4.1 °C,  2.1 °C,  1.7°C,  986.3hPa,West,  8.0km/h,  25.7km/h,83%,  0.5mm/  0.5mm total
01:08,  4.1 °C,  0.3 °C,  1.1°C,  986.7hPa,WSW,  17.7km/h,  27.4km/h,81%,  0.5mm/  0.5mm total
01:23,  4.2 °C,  1.4 °C,  1.1°C,  987.0hPa,WNW,  11.3km/h,  24.1km/h,79%,  0.3mm/  0.5mm total
01:38,  4.2 °C,  2.2 °C,  1.1°C,  988.0hPa,WSW,  8.0km/h,  43.4km/h,80%,  0.0mm/  0.5mm total
01:53,  3.8 °C,  -0.1 °C,  1.1°C,  988.0hPa,West,  17.7km/h,  30.6km/h,83%,  0.0mm/  0.5mm total
02:08,  3.6 °C,  2.0 °C,  1.1°C,  988.0hPa,SSW,  6.4km/h,  32.2km/h,83%,  0.0mm/  0.5mm total
02:23,  3.7 °C,  -,  0.6°C,  988.4hPa,West,  4.8km/h,  29.0km/h,81%,  0.0mm/  0.5mm total
02:38,  3.6 °C,  1.5 °C,  0.6°C,  988.7hPa,West,  8.0km/h,  27.4km/h,82%,  0.0mm/  0.5mm total
02:53,  3.6 °C,  2.0 °C,  0.6°C,  988.7hPa,SW,  6.4km/h,  24.1km/h,82%,  0.0mm/  0.5mm total
03:08,  3.4 °C,  -,  1.1°C,  989.1hPa,SW,  1.6km/h,  17.7km/h,83%,  0.0mm/  0.5mm total
03:23,  3.3 °C,  1.2 °C,  0.6°C,  989.1hPa,WNW,  8.0km/h,  19.3km/h,83%,  0.0mm/  0.5mm total
03:38,  3.6 °C,  2.0 °C,  0.6°C,  989.4hPa,WSW,  6.4km/h,  35.4km/h,82%,  0.0mm/  0.5mm total
03:53,  3.7 °C,  0.6 °C,  0.6°C,  989.4hPa,NNW,  12.9km/h,  24.1km/h,80%,  0.0mm/  0.5mm total
04:08,  3.8 °C,  1.8 °C,  0.6°C,  989.4hPa,North,  8.0km/h,  19.3km/h,79%,  0.0mm/  0.5mm total
04:23,  4.1 °C,  2.5 °C,  0.6°C,  989.7hPa,SW,  6.4km/h,  22.5km/h,78%,  0.0mm/  0.5mm total
04:38,  4.3 °C,  1.5 °C,  0.0°C,  990.4hPa,SW,  11.3km/h,  41.8km/h,75%,  0.0mm/  0.5mm total
04:53,  3.9 °C,  0.8 °C,  0.6°C,  990.4hPa,SSE,  12.9km/h,  32.2km/h,78%,  0.3mm/  0.8mm total
05:08,  3.6 °C,  -,  0.6°C,  991.1hPa,West,  1.6km/h,  17.7km/h,80%,  0.3mm/  0.8mm total
05:23,  3.5 °C,  -,  0.6°C,  991.4hPa,West,  3.2km/h,  9.7km/h,80%,  0.3mm/  0.8mm total
05:39,  3.4 °C,  -,  0.0°C,  992.1hPa,Calm, ,  6.4km/h,79%,  0.3mm/  0.8mm total
05:53,  3.5 °C,  -,  0.0°C,  992.1hPa,NW,  4.8km/h,  9.7km/h,79%,  0.0mm/  0.8mm total
06:08,  3.9 °C,  2.4 °C,  0.0°C,  992.1hPa,West,  6.4km/h,  17.7km/h,77%,  0.0mm/  0.8mm total
06:23,  4.3 °C,  0.5 °C,  0.0°C,  992.4hPa,West,  17.7km/h,  27.4km/h,75%,  0.0mm/  0.8mm total
06:38,  4.1 °C,  2.5 °C,  0.6°C,  992.8hPa,West,  6.4km/h,  33.8km/h,77%,  0.0mm/  0.8mm total
06:54,  3.7 °C,  0.2 °C,  0.6°C,  993.1hPa,West,  14.5km/h,  27.4km/h,79%,  0.0mm/  0.8mm total
07:09,  3.2 °C,  -,  0.6°C,  993.1hPa,NE,  3.2km/h,  25.7km/h,82%,  0.0mm/  0.8mm total
07:24,  2.9 °C,  -,  0.6°C,  992.8hPa,NW,  3.2km/h,  19.3km/h,84%,  0.0mm/  0.8mm total
07:39,  2.7 °C,  -,  0.6°C,  992.8hPa,WNW,  1.6km/h,  24.1km/h,84%,  0.0mm/  0.8mm total
07:54,  3.0 °C,  0.4 °C,  0.6°C,  993.5hPa,WNW,  9.7km/h,  20.9km/h,83%,  0.0mm/  0.8mm total
08:09,  3.3 °C,  -0.3 °C,  0.6°C,  993.1hPa,WSW,  14.5km/h,  27.4km/h,81%,  0.0mm/  0.8mm total
08:24,  3.5 °C,  0.3 °C,  0.6°C,  993.5hPa,WNW,  12.9km/h,  20.9km/h,81%,  0.0mm/  0.8mm total
08:39,  3.8 °C,  1.0 °C,  0.6°C,  993.5hPa,NW,  11.3km/h,  22.5km/h,79%,  0.0mm/  0.8mm total
08:54,  4.1 °C,  -0.2 °C,  0.6°C,  993.5hPa,West,  20.9km/h,  22.5km/h,78%,  0.0mm/  0.8mm total
09:09,  3.7 °C,  0.9 °C,  0.6°C,  993.5hPa,West,  11.3km/h,  24.1km/h,81%,  0.0mm/  0.8mm total
09:24,  3.5 °C,  0.6 °C,  0.6°C,  993.5hPa,West,  11.3km/h,  22.5km/h,82%,  0.0mm/  0.8mm total
09:39,  3.4 °C,  0.5 °C,  1.1°C,  993.5hPa,WNW,  11.3km/h,  20.9km/h,83%,  0.0mm/  0.8mm total
09:54,  3.4 °C,  1.3 °C,  1.1°C,  993.8hPa,West,  8.0km/h,  20.9km/h,84%,  0.0mm/  0.8mm total
10:09,  3.7 °C,  1.6 °C,  1.1°C,  993.8hPa,WSW,  8.0km/h,  25.7km/h,83%,  0.0mm/  0.8mm total
10:24,  3.8 °C,  1.3 °C,  1.1°C,  994.1hPa,West,  9.7km/h,  22.5km/h,83%,  0.0mm/  0.8mm total
10:39,  3.9 °C,  -0.6 °C,  1.1°C,  994.5hPa,WSW,  22.5km/h,  24.1km/h,83%,  0.0mm/  0.8mm total
10:54,  3.9 °C,  -0.5 °C,  1.1°C,  994.8hPa,WSW,  22.5km/h,  30.6km/h,83%,  0.0mm/  0.8mm total
11:09,  4.0 °C,  0.4 °C,  1.7°C,  994.5hPa,West,  16.1km/h,  29.0km/h,83%,  0.0mm/  0.8mm total
11:24,  4.2 °C,  -,  1.1°C,  994.8hPa,WNW,  4.8km/h,  32.2km/h,82%,  0.0mm/  0.8mm total
11:39,  4.3 °C,  -,  1.1°C,  994.8hPa,West,  4.8km/h,  30.6km/h,81%,  0.0mm/  0.8mm total
11:54,  4.4 °C,  1.1 °C,  1.1°C,  994.5hPa,West,  14.5km/h,  33.8km/h,80%,  0.0mm/  0.8mm total
12:09,  4.4 °C,  2.5 °C,  1.1°C,  994.5hPa,West,  8.0km/h,  32.2km/h,80%,  0.0mm/  0.8mm total
12:24,  4.6 °C,  3.1 °C,  1.7°C,  994.8hPa,West,  6.4km/h,  24.1km/h,80%,  0.0mm/  0.8mm total
12:39,  4.5 °C,  2.6 °C,  1.1°C,  994.8hPa,WNW,  8.0km/h,  24.1km/h,79%,  0.0mm/  0.8mm total
